Date,P/E,P/B,Div Yield %,Close,Previous Returns,Returns
01-Jul-22,19.46,4.02,1.41,15752.05,-0.12,-0.18
04-Jul-22,19.57,4.04,1.43,15835.35,-0.18,0.53
05-Jul-22,19.54,4.04,1.42,15810.85,0.53,-0.15
06-Jul-22,19.76,4.08,1.41,15989.8,-0.15,1.13
07-Jul-22,19.93,4.12,1.4,16132.9,1.13,0.89
08-Jul-22,20.04,4,1.37,16220.6,0.89,0.54
11-Jul-22,20.03,3.91,1.37,16216,0.54,-0.03
12-Jul-22,19.83,3.87,1.38,16058.3,-0.03,-0.98
13-Jul-22,19.72,3.85,1.39,15966.65,-0.98,-0.57
14-Jul-22,19.69,3.84,1.42,15938.65,-0.57,-0.18
15-Jul-22,19.82,3.87,1.38,16049.2,-0.18,0.69
18-Jul-22,20.11,3.92,1.36,16278.5,0.69,1.42
19-Jul-22,20.18,3.94,1.37,16340.55,1.42,0.38
20-Jul-22,20.33,3.98,1.36,16520.85,0.38,1.1
21-Jul-22,20.43,4,1.41,16605.25,1.1,0.51
22-Jul-22,20.55,4.03,1.4,16719.45,0.51,0.69
25-Jul-22,20.44,4.01,1.38,16631,0.69,-0.53
26-Jul-22,20.17,3.96,1.39,16483.85,-0.53,-0.89
27-Jul-22,20.19,4,1.38,16641.8,-0.89,0.95
28-Jul-22,20.49,4.07,1.33,16929.6,0.95,1.71
29-Jul-22,20.73,4.12,1.29,17158.25,1.71,1.34
01-Aug-22,20.9,4.17,1.29,17340.05,1.34,1.05
02-Aug-22,20.86,4.17,1.29,17345.45,1.05,0.03
03-Aug-22,20.85,4.18,1.3,17388.15,0.03,0.25
04-Aug-22,20.85,4.18,1.3,17382,0.25,-0.04
05-Aug-22,20.86,4.18,1.29,17397.5,-0.04,0.09
08-Aug-22,21.02,4.21,1.33,17525.1,0.09,0.73
10-Aug-22,21.11,4.21,1.34,17534.75,0.73,0.06
11-Aug-22,21.29,4.18,1.36,17659,0.06,0.71
12-Aug-22,21.18,4.15,1.35,17698.15,0.71,0.22
16-Aug-22,21.34,4.18,1.34,17825.25,0.22,0.72
17-Aug-22,21.42,4.2,1.33,17944.25,0.72,0.67
18-Aug-22,21.44,4.2,1.38,17956.5,0.67,0.07
19-Aug-22,21.2,4.15,1.41,17758.45,0.07,-1.11
22-Aug-22,20.88,4.09,1.44,17490.7,-1.11,-1.52
23-Aug-22,20.98,4.11,1.43,17577.5,-1.52,0.5
24-Aug-22,21.02,4.11,1.42,17604.95,0.5,0.16
25-Aug-22,20.92,4.09,1.43,17522.45,0.16,-0.47
26-Aug-22,20.96,4.1,1.43,17558.9,-0.47,0.21
29-Aug-22,20.67,4.05,1.45,17312.9,0.21,-1.41
30-Aug-22,21.2,4.12,1.41,17759.3,-1.41,2.55
01-Sep-22,20.94,4.07,1.43,17542.8,2.55,-1.23
02-Sep-22,20.94,4.07,1.42,17539.45,-1.23,-0.02
05-Sep-22,21.09,4.1,1.41,17665.8,-0.02,0.72
06-Sep-22,21.08,4.1,1.41,17655.6,0.72,-0.06
07-Sep-22,21.04,4.09,1.41,17624.4,-0.06,-0.18
08-Sep-22,21.25,4.13,1.36,17798.75,-0.18,0.98
09-Sep-22,21.29,4.14,1.35,17833.35,0.98,0.19
12-Sep-22,21.41,4.16,1.35,17936.35,0.19,0.58
13-Sep-22,21.57,4.19,1.34,18070.05,0.58,0.74
14-Sep-22,21.49,4.18,1.34,18003.75,0.74,-0.37
15-Sep-22,21.34,4.15,1.35,17877.4,-0.37,-0.7
16-Sep-22,20.93,4.07,1.31,17530.85,-0.7,-1.96
19-Sep-22,21.04,4.09,1.3,17622.25,-1.96,0.52
20-Sep-22,21.27,4.13,1.28,17816.25,0.52,1.09
21-Sep-22,21.15,4.11,1.29,17718.35,1.09,-0.55
22-Sep-22,21.05,4.09,1.3,17629.8,-0.55,-0.5
23-Sep-22,20.69,4.02,1.32,17327.35,-0.5,-1.73
26-Sep-22,20.31,3.95,1.35,17016.3,-1.73,-1.81
27-Sep-22,20.3,3.95,1.35,17007.4,-1.81,-0.05
28-Sep-22,20.13,3.91,1.36,16858.6,-0.05,-0.88
29-Sep-22,20.08,3.9,1.36,16818.1,-0.88,-0.24
30-Sep-22,20.64,4.02,1.32,17094.35,-0.24,1.63
03-Oct-22,20.39,3.97,1.34,16887.35,1.63,-1.22
04-Oct-22,20.86,4.06,1.31,17274.3,-1.22,2.27
06-Oct-22,20.93,4.07,1.31,17331.8,2.27,0.33
07-Oct-22,20.9,4.07,1.31,17314.65,0.33,-0.1
10-Oct-22,20.82,4.05,1.31,17241,-0.1,-0.43
11-Oct-22,20.51,3.99,1.33,16983.55,-0.43,-1.5
12-Oct-22,20.67,4.02,1.32,17123.6,-1.5,0.82
13-Oct-22,20.53,4,1.33,17014.35,0.82,-0.64
14-Oct-22,20.74,4.04,1.31,17185.7,-0.64,1
17-Oct-22,20.86,4.07,1.31,17311.8,1,0.73
18-Oct-22,20.99,4.11,1.3,17486.95,0.73,1.01
19-Oct-22,21.02,4.12,1.31,17512.25,1.01,0.14
20-Oct-22,21.06,4.13,1.3,17563.95,0.14,0.29
21-Oct-22,21.07,4.13,1.29,17576.3,0.29,0.07
24-Oct-22,21.26,4.17,1.28,17730.75,0.07,0.87
25-Oct-22,21,4.15,1.28,17656.35,0.87,-0.42
27-Oct-22,21.1,4.17,1.26,17736.95,-0.42,0.46
28-Oct-22,21.15,4.18,1.26,17786.8,0.46,0.28
31-Oct-22,21.42,4.23,1.25,18012.2,0.28,1.26
01-Nov-22,21.98,4.26,1.26,18145.4,1.26,0.74
02-Nov-22,21.82,4.25,1.25,18082.85,0.74,-0.35
03-Nov-22,21.79,4.24,1.25,18052.7,-0.35,-0.17
